"X","participant_id","exp_trial_type","block_n","trial_n","trial_index","time_elapsed","partner_id","object","label","object_choices","object_selected","score","rt","condition","pair_id","key_feature","predicted"
333,"p002","director",3,133,503,1494545,"p050","circle_red","cross","","",NA,1727.09999990463,"random_associations","p002-p050","red",1
335,"p002","director",3,135,510,1515404,"p050","circle_yellow","pentagon","","",NA,3527.69999980927,"random_associations","p002-p050","yellow",1
337,"p002","director",4,137,519,1557000,"p050","city","pentagon","","",NA,5147.90000009537,"random_associations","p002-p050","city",0
339,"p002","director",4,139,526,1581223,"p050","banana","cross","","",NA,4740.20000004768,"random_associations","p002-p050","banana",0
341,"p002","director",4,141,533,1603977,"p050","pig","circle","","",NA,3476.39999985695,"random_associations","p002-p050","pig",0
343,"p002","director",4,143,540,1626185,"p050","volcano","diamond","","",NA,6277.20000004768,"random_associations","p002-p050","volcano",0
345,"p002","director",4,145,547,1653723,"p050","city","pentagon","","",NA,1737.5,"random_associations","p002-p050","city",0
347,"p002","director",4,147,554,1676723,"p050","banana","cross","","",NA,3918.59999990463,"random_associations","p002-p050","banana",0
349,"p002","director",4,149,561,1695575,"p050","volcano","pentagon","","",NA,4517.39999985695,"random_associations","p002-p050","volcano",0
351,"p002","director",4,151,568,1714187,"p050","pig","circle","","",NA,1539.20000004768,"random_associations","p002-p050","pig",0
353,"p002","director",4,153,575,1737726,"p050","banana","cross","","",NA,1779.30000019073,"random_associations","p002-p050","banana",0
355,"p002","director",4,155,582,1755276,"p050","volcano","pentagon","","",NA,2852.20000004768,"random_associations","p002-p050","volcano",0
357,"p002","director",4,157,589,1770610,"p050","pig","circle","","",NA,1800.70000004768,"random_associations","p002-p050","pig",0
359,"p002","director",4,159,596,1787310,"p050","city","diamond","","",NA,4825.5,"random_associations","p002-p050","city",1
361,"p002","director",4,161,603,1805007,"p050","pig","circle","","",NA,1856.29999995232,"random_associations","p002-p050","pig",0
363,"p002","director",4,163,610,1819260,"p050","volcano","pentagon","","",NA,1792.20000004768,"random_associations","p002-p050","volcano",0
365,"p002","director",4,165,617,1836072,"p050","city","diamond","","",NA,1571.10000014305,"random_associations","p002-p050","city",1
367,"p002","director",4,167,624,1851675,"p050","banana","cross","","",NA,1317,"random_associations","p002-p050","banana",0
369,"p002","director",5,169,631,1875105,"p050","sad","diamond","","",NA,8116.20000004768,"random_associations","p002-p050","sad",1
371,"p002","director",5,171,638,1900253,"p050","angry","cross","","",NA,1603,"random_associations","p002-p050","angry",1
373,"p002","director",5,173,645,1917075,"p050","inlove","circle","","",NA,3590.5,"random_associations","p002-p050","inlove",0
375,"p002","director",5,175,652,1937622,"p050","happy","pentagon","","",NA,5231.80000019073,"random_associations","p002-p050","happy",0
377,"p002","director",5,177,659,1960862,"p050","inlove","circle","","",NA,2786.20000004768,"random_associations","p002-p050","inlove",0
379,"p002","director",5,179,666,1977839,"p050","angry","cross","","",NA,2112.39999985695,"random_associations","p002-p050","angry",1
381,"p002","director",5,181,673,1995130,"p050","sad","diamond","","",NA,4115.60000014305,"random_associations","p002-p050","sad",1
383,"p002","director",5,183,680,2014964,"p050","happy","pentagon","","",NA,1644.5,"random_associations","p002-p050","happy",0
385,"p002","director",5,185,687,2034589,"p050","angry","cross","","",NA,1497.70000004768,"random_associations","p002-p050","angry",1
387,"p002","director",5,187,694,2053330,"p050","sad","diamond","","",NA,3740.10000014305,"random_associations","p002-p050","sad",1
389,"p002","director",5,189,701,2071204,"p050","inlove","circle","","",NA,1842.69999980927,"random_associations","p002-p050","inlove",0
391,"p002","director",5,191,708,2087329,"p050","happy","pentagon","","",NA,1437,"random_associations","p002-p050","happy",0
393,"p002","director",5,193,715,2101991,"p050","angry","cross","","",NA,2019.20000004768,"random_associations","p002-p050","angry",1
395,"p002","director",5,195,722,2117322,"p050","inlove","circle","","",NA,1899.90000009537,"random_associations","p002-p050","inlove",0
397,"p002","director",5,197,729,2132441,"p050","sad","diamond","","",NA,2393,"random_associations","p002-p050","sad",1
399,"p002","director",5,199,736,2148152,"p050","happy","pentagon","","",NA,2096.5,"random_associations","p002-p050","happy",0
410,"p003","director",1,10,70,213788,"p043","star_yellow","star","","",NA,2409.09999999986,"fixed_associations","p003-p043","yellow",NA
